Epoca 536 | RMS 0.92692
Epoca 537 | RMS 0.92654
Epoca 538 | RMS 0.92616
Epoca 539 | RMS 0.92579
Epoca 540 | RMS 0.92541
Epoca 541 | RMS 0.92504
Epoca 542 | RMS 0.92467
Epoca 543 | RMS 0.92431
Epoca 544 | RMS 0.92394
Epoca 545 | RMS 0.92358
Epoca 546 | RMS 0.92322
Epoca 547 | RMS 0.92286
Epoca 548 | RMS 0.92251
Epoca 549 | RMS 0.92215
Epoca 550 | RMS 0.92180
Epoca 551 | RMS 0.92145
Epoca 552 | RMS 0.92110
Epoca 553 | RMS 0.92075
Epoca 554 | RMS 0.92041
Epoca 555 | RMS 0.92006
Epoca 556 | RMS 0.91972
Epoca 557 | RMS 0.91938
Epoca 558 | RMS 0.91904
Epoca 559 | RMS 0.91870
Epoca 560 | RMS 0.91837
Epoca 561 | RMS 0.91803
Epoca 562 | RMS 0.91770
Epoca 563 | RMS 0.91737
Epoca 564 | RMS 0.91704
Epoca 565 | RMS 0.91671
Epoca 566 | RMS 0.91638
Epoca 567 | RMS 0.91606
Epoca 568 | RMS 0.91573
Epoca 569 | RMS 0.91541
Epoca 570 | RMS 0.91509
Epoca 571 | RMS 0.91477
Epoca 572 | RMS 0.91445
Epoca 573 | RMS 0.91413
Epoca 574 | RMS 0.91381
Epoca 575 | RMS 0.91349
Epoca 576 | RMS 0.91318
Epoca 577 | RMS 0.91286
Epoca 578 | RMS 0.91255
Epoca 579 | RMS 0.91224
Epoca 580 | RMS 0.91193
Epoca 581 | RMS 0.91162
Epoca 582 | RMS 0.91131
Epoca 583 | RMS 0.91100
Epoca 584 | RMS 0.91069
Epoca 585 | RMS 0.91038
Epoca 586 | RMS 0.91008
Epoca 587 | RMS 0.90977
Epoca 588 | RMS 0.90946
Epoca 589 | RMS 0.90916
Epoca 590 | RMS 0.90886
Epoca 591 | RMS 0.90855
Epoca 592 | RMS 0.90825
Epoca 593 | RMS 0.90795
Epoca 594 | RMS 0.90765
Epoca 595 | RMS 0.90735
Epoca 596 | RMS 0.90704
Epoca 597 | RMS 0.90674
Epoca 598 | RMS 0.90644
Epoca 599 | RMS 0.90614
Epoca 600 | RMS 0.90585
Epoca 601 | RMS 0.90555
Epoca 602 | RMS 0.90525
Epoca 603 | RMS 0.90495
Epoca 604 | RMS 0.90465
Epoca 605 | RMS 0.90436
Epoca 606 | RMS 0.90406
Epoca 607 | RMS 0.90376
Epoca 608 | RMS 0.90347
Epoca 609 | RMS 0.90317
Epoca 610 | RMS 0.90288
Epoca 611 | RMS 0.90258
Epoca 612 | RMS 0.90229
Epoca 613 | RMS 0.90199
Epoca 614 | RMS 0.90170
Epoca 615 | RMS 0.90140
Epoca 616 | RMS 0.90111
Epoca 617 | RMS 0.90081
Epoca 618 | RMS 0.90052
Epoca 619 | RMS 0.90023
Epoca 620 | RMS 0.89993
Epoca 621 | RMS 0.89964
Epoca 622 | RMS 0.89935
Epoca 623 | RMS 0.89905
Epoca 624 | RMS 0.89876
Epoca 625 | RMS 0.89847
Epoca 626 | RMS 0.89818
Epoca 627 | RMS 0.89788
Epoca 628 | RMS 0.89759
Epoca 629 | RMS 0.89730
Epoca 630 | RMS 0.89701
Epoca 631 | RMS 0.89672
Epoca 632 | RMS 0.89642
Epoca 633 | RMS 0.89613
Epoca 634 | RMS 0.89584
Epoca 635 | RMS 0.89555
Epoca 636 | RMS 0.89526
Epoca 637 | RMS 0.89497
Epoca 638 | RMS 0.89468
Epoca 639 | RMS 0.89439
Epoca 640 | RMS 0.89409
Epoca 641 | RMS 0.89380
Epoca 642 | RMS 0.89351
Epoca 643 | RMS 0.89322
Epoca 644 | RMS 0.89293
Epoca 645 | RMS 0.89264
Epoca 646 | RMS 0.89235
Epoca 647 | RMS 0.89206
Epoca 648 | RMS 0.89177
Epoca 649 | RMS 0.89148
Epoca 650 | RMS 0.89119
Epoca 651 | RMS 0.89090
Epoca 652 | RMS 0.89061
Epoca 653 | RMS 0.89032
Epoca 654 | RMS 0.89003
Epoca 655 | RMS 0.88974
Epoca 656 | RMS 0.88945
Epoca 657 | RMS 0.88916
Epoca 658 | RMS 0.88887
Epoca 659 | RMS 0.88858
Epoca 660 | RMS 0.88829
Epoca 661 | RMS 0.88801
Epoca 662 | RMS 0.88772
Epoca 663 | RMS 0.88743
Epoca 664 | RMS 0.88714
Epoca 665 | RMS 0.88685
Epoca 666 | RMS 0.88656
Epoca 667 | RMS 0.88627
Epoca 668 | RMS 0.88598
Epoca 669 | RMS 0.88569
Epoca 670 | RMS 0.88540
Epoca 671 | RMS 0.88512
Epoca 672 | RMS 0.88483
Epoca 673 | RMS 0.88454
Epoca 674 | RMS 0.88425
Epoca 675 | RMS 0.88396
Epoca 676 | RMS 0.88367
Epoca 677 | RMS 0.88338
Epoca 678 | RMS 0.88309
Epoca 679 | RMS 0.88280
Epoca 680 | RMS 0.88251
Epoca 681 | RMS 0.88223
Epoca 682 | RMS 0.88194
Epoca 683 | RMS 0.88165
Epoca 684 | RMS 0.88136
Epoca 685 | RMS 0.88107
Epoca 686 | RMS 0.88078
Epoca 687 | RMS 0.88049
Epoca 688 | RMS 0.88020
Epoca 689 | RMS 0.87992
Epoca 690 | RMS 0.87963
Epoca 691 | RMS 0.87934
Epoca 692 | RMS 0.87905
Epoca 693 | RMS 0.87876
Epoca 694 | RMS 0.87847
Epoca 695 | RMS 0.87818
Epoca 696 | RMS 0.87789
Epoca 697 | RMS 0.87760
Epoca 698 | RMS 0.87731
Epoca 699 | RMS 0.87702
Epoca 700 | RMS 0.87673
Epoca 701 | RMS 0.87644
Epoca 702 | RMS 0.87615
Epoca 703 | RMS 0.87586
Epoca 704 | RMS 0.87557
Epoca 705 | RMS 0.87528
Epoca 706 | RMS 0.87499
Epoca 707 | RMS 0.87470
Epoca 708 | RMS 0.87441
Epoca 709 | RMS 0.87412
Epoca 710 | RMS 0.87383
Epoca 711 | RMS 0.87354
Epoca 712 | RMS 0.87325
