-0.40 -0.14 -0.42 0.43 
-0.30 0.32 -0.07 -0.42 
0.23 0.47 -0.50 0.14 
-0.27 -0.34 -0.03 0.04 
-0.34 0.10 0.11 0.08 
0.11 0.33 -0.25 -0.35 
0.33 0.30 -0.34 -0.32 0.49 -0.09 
0.15 -0.41 0.27 0.23 -0.48 0.47 
0.06 -0.04 -0.45 -0.21 -0.07 -0.45 
0.43 0.15 -0.29 -0.11 -0.31 -0.12 0.49 0.30 0.45 

##################LEARN##################
Epoca 154 | ACIERTOS = 54 36%
Epoca 154 | FALLOS = 96 64%
Epoca 155 | ACIERTOS = 54 36%
Epoca 155 | FALLOS = 96 64%
Epoca 156 | ACIERTOS = 54 36%
Epoca 156 | FALLOS = 96 64%
Epoca 157 | ACIERTOS = 54 36%
Epoca 157 | FALLOS = 96 64%
Epoca 158 | ACIERTOS = 54 36%
Epoca 158 | FALLOS = 96 64%
Epoca 159 | ACIERTOS = 54 36%
Epoca 159 | FALLOS = 96 64%
Epoca 160 | ACIERTOS = 54 36%
Epoca 160 | FALLOS = 96 64%
Epoca 161 | ACIERTOS = 54 36%
Epoca 161 | FALLOS = 96 64%
Epoca 162 | ACIERTOS = 54 36%
Epoca 162 | FALLOS = 96 64%
Epoca 163 | ACIERTOS = 54 36%
Epoca 163 | FALLOS = 96 64%
Epoca 164 | ACIERTOS = 54 36%
Epoca 164 | FALLOS = 96 64%
Epoca 165 | ACIERTOS = 54 36%
Epoca 165 | FALLOS = 96 64%
Epoca 166 | ACIERTOS = 54 36%
Epoca 166 | FALLOS = 96 64%
Epoca 167 | ACIERTOS = 54 36%
Epoca 167 | FALLOS = 96 64%
Epoca 168 | ACIERTOS = 54 36%
Epoca 168 | FALLOS = 96 64%
Epoca 169 | ACIERTOS = 54 36%
Epoca 169 | FALLOS = 96 64%
Epoca 170 | ACIERTOS = 54 36%
Epoca 170 | FALLOS = 96 64%
Epoca 171 | ACIERTOS = 54 36%
Epoca 171 | FALLOS = 96 64%
Epoca 172 | ACIERTOS = 54 36%
Epoca 172 | FALLOS = 96 64%
Epoca 173 | ACIERTOS = 54 36%
Epoca 173 | FALLOS = 96 64%
Epoca 174 | ACIERTOS = 54 36%
Epoca 174 | FALLOS = 96 64%
Epoca 175 | ACIERTOS = 54 36%
Epoca 175 | FALLOS = 96 64%
Epoca 176 | ACIERTOS = 54 36%
Epoca 176 | FALLOS = 96 64%
Epoca 177 | ACIERTOS = 54 36%
Epoca 177 | FALLOS = 96 64%
Epoca 178 | ACIERTOS = 54 36%
Epoca 178 | FALLOS = 96 64%
Epoca 179 | ACIERTOS = 54 36%
Epoca 179 | FALLOS = 96 64%
Epoca 180 | ACIERTOS = 54 36%
Epoca 180 | FALLOS = 96 64%
Epoca 181 | ACIERTOS = 54 36%
Epoca 181 | FALLOS = 96 64%
Epoca 182 | ACIERTOS = 54 36%
Epoca 182 | FALLOS = 96 64%
Epoca 183 | ACIERTOS = 54 36%
Epoca 183 | FALLOS = 96 64%
Epoca 184 | ACIERTOS = 54 36%
Epoca 184 | FALLOS = 96 64%
Epoca 185 | ACIERTOS = 54 36%
Epoca 185 | FALLOS = 96 64%
Epoca 186 | ACIERTOS = 54 36%
Epoca 186 | FALLOS = 96 64%
Epoca 187 | ACIERTOS = 54 36%
Epoca 187 | FALLOS = 96 64%
Epoca 188 | ACIERTOS = 54 36%
Epoca 188 | FALLOS = 96 64%
Epoca 189 | ACIERTOS = 54 36%
Epoca 189 | FALLOS = 96 64%
Epoca 190 | ACIERTOS = 54 36%
Epoca 190 | FALLOS = 96 64%
Epoca 191 | ACIERTOS = 54 36%
Epoca 191 | FALLOS = 96 64%
Epoca 192 | ACIERTOS = 54 36%
Epoca 192 | FALLOS = 96 64%
Epoca 193 | ACIERTOS = 54 36%
Epoca 193 | FALLOS = 96 64%
Epoca 194 | ACIERTOS = 54 36%
Epoca 194 | FALLOS = 96 64%
Epoca 195 | ACIERTOS = 54 36%
Epoca 195 | FALLOS = 96 64%
Epoca 196 | ACIERTOS = 54 36%
Epoca 196 | FALLOS = 96 64%
Epoca 197 | ACIERTOS = 54 36%
Epoca 197 | FALLOS = 96 64%
Epoca 198 | ACIERTOS = 54 36%
Epoca 198 | FALLOS = 96 64%
Epoca 199 | ACIERTOS = 54 36%
Epoca 199 | FALLOS = 96 64%
Epoca 200 | ACIERTOS = 54 36%
Epoca 200 | FALLOS = 96 64%
Epoca 201 | ACIERTOS = 54 36%
Epoca 201 | FALLOS = 96 64%
Epoca 202 | ACIERTOS = 54 36%
Epoca 202 | FALLOS = 96 64%
Epoca 203 | ACIERTOS = 54 36%
Epoca 203 | FALLOS = 96 64%
Epoca 204 | ACIERTOS = 54 36%
Epoca 204 | FALLOS = 96 64%
Epoca 205 | ACIERTOS = 54 36%
Epoca 205 | FALLOS = 96 64%
Epoca 206 | ACIERTOS = 54 36%
Epoca 206 | FALLOS = 96 64%
Epoca 207 | ACIERTOS = 54 36%
Epoca 207 | FALLOS = 96 64%
Epoca 208 | ACIERTOS = 54 36%
Epoca 208 | FALLOS = 96 64%
Epoca 209 | ACIERTOS = 54 36%
Epoca 209 | FALLOS = 96 64%
Epoca 210 | ACIERTOS = 54 36%
Epoca 210 | FALLOS = 96 64%
Epoca 211 | ACIERTOS = 54 36%
Epoca 211 | FALLOS = 96 64%
Epoca 212 | ACIERTOS = 54 36%
Epoca 212 | FALLOS = 96 64%
Epoca 213 | ACIERTOS = 54 36%
Epoca 213 | FALLOS = 96 64%
Epoca 214 | ACIERTOS = 54 36%
Epoca 214 | FALLOS = 96 64%
Epoca 215 | ACIERTOS = 54 36%
Epoca 215 | FALLOS = 96 64%
Epoca 216 | ACIERTOS = 54 36%
Epoca 216 | FALLOS = 96 64%
Epoca 217 | ACIERTOS = 54 36%
Epoca 217 | FALLOS = 96 64%
Epoca 218 | ACIERTOS = 54 36%
Epoca 218 | FALLOS = 96 64%
Epoca 219 | ACIERTOS = 54 36%
Epoca 219 | FALLOS = 96 64%
Epoca 220 | ACIERTOS = 54 36%
Epoca 220 | FALLOS = 96 64%
Epoca 221 | ACIERTOS = 54 36%
Epoca 221 | FALLOS = 96 64%
Epoca 222 | ACIERTOS = 54 36%
Epoca 222 | FALLOS = 96 64%
Epoca 223 | ACIERTOS = 54 36%
Epoca 223 | FALLOS = 96 64%
Epoca 224 | ACIERTOS = 54 36%
Epoca 224 | FALLOS = 96 64%
Epoca 225 | ACIERTOS = 54 36%
Epoca 225 | FALLOS = 96 64%
Epoca 226 | ACIERTOS = 54 36%
Epoca 226 | FALLOS = 96 64%
Epoca 227 | ACIERTOS = 54 36%
Epoca 227 | FALLOS = 96 64%
Epoca 228 | ACIERTOS = 54 36%
Epoca 228 | FALLOS = 96 64%
Epoca 229 | ACIERTOS = 54 36%
Epoca 229 | FALLOS = 96 64%
Epoca 230 | ACIERTOS = 54 36%
Epoca 230 | FALLOS = 96 64%
Epoca 231 | ACIERTOS = 54 36%
Epoca 231 | FALLOS = 96 64%
Epoca 232 | ACIERTOS = 54 36%
Epoca 232 | FALLOS = 96 64%
Epoca 233 | ACIERTOS = 54 36%
Epoca 233 | FALLOS = 96 64%
Epoca 234 | ACIERTOS = 54 36%
Epoca 234 | FALLOS = 96 64%
Epoca 235 | ACIERTOS = 54 36%
Epoca 235 | FALLOS = 96 64%
Epoca 236 | ACIERTOS = 54 36%
Epoca 236 | FALLOS = 96 64%
Epoca 237 | ACIERTOS = 54 36%
Epoca 237 | FALLOS = 96 64%
Epoca 238 | ACIERTOS = 54 36%
Epoca 238 | FALLOS = 96 64%
Epoca 239 | ACIERTOS = 54 36%
Epoca 239 | FALLOS = 96 64%
Epoca 240 | ACIERTOS = 54 36%
Epoca 240 | FALLOS = 96 64%
Epoca 241 | ACIERTOS = 54 36%
Epoca 241 | FALLOS = 96 64%
Epoca 242 | ACIERTOS = 54 36%
Epoca 242 | FALLOS = 96 64%
Epoca 243 | ACIERTOS = 54 36%
Epoca 243 | FALLOS = 96 64%
Epoca 244 | ACIERTOS = 54 36%
Epoca 244 | FALLOS = 96 64%
Epoca 245 | ACIERTOS = 54 36%
Epoca 245 | FALLOS = 96 64%
Epoca 246 | ACIERTOS = 54 36%
Epoca 246 | FALLOS = 96 64%
Epoca 247 | ACIERTOS = 54 36%
Epoca 247 | FALLOS = 96 64%
Epoca 248 | ACIERTOS = 54 36%
Epoca 248 | FALLOS = 96 64%
Epoca 249 | ACIERTOS = 54 36%
Epoca 249 | FALLOS = 96 64%
Epoca 250 | ACIERTOS = 54 36%
Epoca 250 | FALLOS = 96 64%
Epoca 251 | ACIERTOS = 54 36%
Epoca 251 | FALLOS = 96 64%
Epoca 252 | ACIERTOS = 54 36%
Epoca 252 | FALLOS = 96 64%
Epoca 253 | ACIERTOS = 54 36%
Epoca 253 | FALLOS = 96 64%
Epoca 254 | ACIERTOS = 54 36%
Epoca 254 | FALLOS = 96 64%
Epoca 255 | ACIERTOS = 54 36%
Epoca 255 | FALLOS = 96 64%
Epoca 256 | ACIERTOS = 54 36%
Epoca 256 | FALLOS = 96 64%
Epoca 257 | ACIERTOS = 54 36%
Epoca 257 | FALLOS = 96 64%
Epoca 258 | ACIERTOS = 54 36%
Epoca 258 | FALLOS = 96 64%
Epoca 259 | ACIERTOS = 54 36%
Epoca 259 | FALLOS = 96 64%
Epoca 260 | ACIERTOS = 54 36%
Epoca 260 | FALLOS = 96 64%
Epoca 261 | ACIERTOS = 54 36%
Epoca 261 | FALLOS = 96 64%
Epoca 262 | ACIERTOS = 54 36%
Epoca 262 | FALLOS = 96 64%
Epoca 263 | ACIERTOS = 54 36%
Epoca 263 | FALLOS = 96 64%
Epoca 264 | ACIERTOS = 54 36%
Epoca 264 | FALLOS = 96 64%
Epoca 265 | ACIERTOS = 54 36%
Epoca 265 | FALLOS = 96 64%
Epoca 266 | ACIERTOS = 54 36%
Epoca 266 | FALLOS = 96 64%
Epoca 267 | ACIERTOS = 54 36%
Epoca 267 | FALLOS = 96 64%
Epoca 268 | ACIERTOS = 54 36%
Epoca 268 | FALLOS = 96 64%
Epoca 269 | ACIERTOS = 54 36%
Epoca 269 | FALLOS = 96 64%
Epoca 270 | ACIERTOS = 54 36%
Epoca 270 | FALLOS = 96 64%
Epoca 271 | ACIERTOS = 54 36%
Epoca 271 | FALLOS = 96 64%
Epoca 272 | ACIERTOS = 54 36%
Epoca 272 | FALLOS = 96 64%
Epoca 273 | ACIERTOS = 54 36%
Epoca 273 | FALLOS = 96 64%
Epoca 274 | ACIERTOS = 54 36%
Epoca 274 | FALLOS = 96 64%
Epoca 275 | ACIERTOS = 54 36%
Epoca 275 | FALLOS = 96 64%
Epoca 276 | ACIERTOS = 54 36%
Epoca 276 | FALLOS = 96 64%
Epoca 277 | ACIERTOS = 54 36%
Epoca 277 | FALLOS = 96 64%
Epoca 278 | ACIERTOS = 54 36%
Epoca 278 | FALLOS = 96 64%
Epoca 279 | ACIERTOS = 54 36%
Epoca 279 | FALLOS = 96 64%
Epoca 280 | ACIERTOS = 54 36%
Epoca 280 | FALLOS = 96 64%
Epoca 281 | ACIERTOS = 54 36%
Epoca 281 | FALLOS = 96 64%
Epoca 282 | ACIERTOS = 54 36%
Epoca 282 | FALLOS = 96 64%
Epoca 283 | ACIERTOS = 54 36%
Epoca 283 | FALLOS = 96 64%
Epoca 284 | ACIERTOS = 54 36%
Epoca 284 | FALLOS = 96 64%
Epoca 285 | ACIERTOS = 54 36%
Epoca 285 | FALLOS = 96 64%
Epoca 286 | ACIERTOS = 54 36%
Epoca 286 | FALLOS = 96 64%
Epoca 287 | ACIERTOS = 54 36%
Epoca 287 | FALLOS = 96 64%
Epoca 288 | ACIERTOS = 54 36%
Epoca 288 | FALLOS = 96 64%
Epoca 289 | ACIERTOS = 54 36%
Epoca 289 | FALLOS = 96 64%
Epoca 290 | ACIERTOS = 54 36%
Epoca 290 | FALLOS = 96 64%
Epoca 291 | ACIERTOS = 54 36%
Epoca 291 | FALLOS = 96 64%
Epoca 292 | ACIERTOS = 54 36%
Epoca 292 | FALLOS = 96 64%
Epoca 293 | ACIERTOS = 54 36%
Epoca 293 | FALLOS = 96 64%
Epoca 294 | ACIERTOS = 54 36%
Epoca 294 | FALLOS = 96 64%
Epoca 295 | ACIERTOS = 54 36%
Epoca 295 | FALLOS = 96 64%
Epoca 296 | ACIERTOS = 54 36%
Epoca 296 | FALLOS = 96 64%
Epoca 297 | ACIERTOS = 54 36%
Epoca 297 | FALLOS = 96 64%
Epoca 298 | ACIERTOS = 54 36%
Epoca 298 | FALLOS = 96 64%
Epoca 299 | ACIERTOS = 54 36%
Epoca 299 | FALLOS = 96 64%
Epoca 300 | ACIERTOS = 54 36%
Epoca 300 | FALLOS = 96 64%
Epoca 301 | ACIERTOS = 54 36%
Epoca 301 | FALLOS = 96 64%
Epoca 302 | ACIERTOS = 54 36%
Epoca 302 | FALLOS = 96 64%
Epoca 303 | ACIERTOS = 54 36%
Epoca 303 | FALLOS = 96 64%
Epoca 304 | ACIERTOS = 54 36%
Epoca 304 | FALLOS = 96 64%
Epoca 305 | ACIERTOS = 54 36%
Epoca 305 | FALLOS = 96 64%
Epoca 306 | ACIERTOS = 54 36%
Epoca 306 | FALLOS = 96 64%
Epoca 307 | ACIERTOS = 54 36%
Epoca 307 | FALLOS = 96 64%
Epoca 308 | ACIERTOS = 54 36%
Epoca 308 | FALLOS = 96 64%
Epoca 309 | ACIERTOS = 54 36%
Epoca 309 | FALLOS = 96 64%
