-0.40 -0.14 -0.42 0.43 
-0.30 0.32 -0.07 -0.42 
0.23 0.47 -0.50 0.14 
-0.27 -0.34 -0.03 0.04 
-0.34 0.10 0.11 0.08 
0.11 0.33 -0.25 -0.35 
0.33 0.30 -0.34 -0.32 
0.49 -0.09 0.15 -0.41 0.27 0.23 -0.48 
0.47 0.06 -0.04 -0.45 -0.21 -0.07 -0.45 
0.43 0.15 -0.29 -0.11 -0.31 -0.12 0.49 
0.30 0.45 0.11 0.13 -0.30 0.26 -0.04 -0.50 0.41 0.14 

##################LEARN##################
Epoca 240 | FALLOS = 98 65%
Epoca 241 | ACIERTOS = 52 35%
Epoca 241 | FALLOS = 98 65%
Epoca 242 | ACIERTOS = 52 35%
Epoca 242 | FALLOS = 98 65%
Epoca 243 | ACIERTOS = 52 35%
Epoca 243 | FALLOS = 98 65%
Epoca 244 | ACIERTOS = 52 35%
Epoca 244 | FALLOS = 98 65%
Epoca 245 | ACIERTOS = 52 35%
Epoca 245 | FALLOS = 98 65%
Epoca 246 | ACIERTOS = 52 35%
Epoca 246 | FALLOS = 98 65%
Epoca 247 | ACIERTOS = 52 35%
Epoca 247 | FALLOS = 98 65%
Epoca 248 | ACIERTOS = 52 35%
Epoca 248 | FALLOS = 98 65%
Epoca 249 | ACIERTOS = 52 35%
Epoca 249 | FALLOS = 98 65%
Epoca 250 | ACIERTOS = 52 35%
Epoca 250 | FALLOS = 98 65%
Epoca 251 | ACIERTOS = 52 35%
Epoca 251 | FALLOS = 98 65%
Epoca 252 | ACIERTOS = 52 35%
Epoca 252 | FALLOS = 98 65%
Epoca 253 | ACIERTOS = 52 35%
Epoca 253 | FALLOS = 98 65%
Epoca 254 | ACIERTOS = 52 35%
Epoca 254 | FALLOS = 98 65%
Epoca 255 | ACIERTOS = 52 35%
Epoca 255 | FALLOS = 98 65%
Epoca 256 | ACIERTOS = 52 35%
Epoca 256 | FALLOS = 98 65%
Epoca 257 | ACIERTOS = 52 35%
Epoca 257 | FALLOS = 98 65%
Epoca 258 | ACIERTOS = 52 35%
Epoca 258 | FALLOS = 98 65%
Epoca 259 | ACIERTOS = 52 35%
Epoca 259 | FALLOS = 98 65%
Epoca 260 | ACIERTOS = 52 35%
Epoca 260 | FALLOS = 98 65%
Epoca 261 | ACIERTOS = 52 35%
Epoca 261 | FALLOS = 98 65%
Epoca 262 | ACIERTOS = 52 35%
Epoca 262 | FALLOS = 98 65%
Epoca 263 | ACIERTOS = 52 35%
Epoca 263 | FALLOS = 98 65%
Epoca 264 | ACIERTOS = 52 35%
Epoca 264 | FALLOS = 98 65%
Epoca 265 | ACIERTOS = 52 35%
Epoca 265 | FALLOS = 98 65%
Epoca 266 | ACIERTOS = 52 35%
Epoca 266 | FALLOS = 98 65%
Epoca 267 | ACIERTOS = 52 35%
Epoca 267 | FALLOS = 98 65%
Epoca 268 | ACIERTOS = 52 35%
Epoca 268 | FALLOS = 98 65%
Epoca 269 | ACIERTOS = 52 35%
Epoca 269 | FALLOS = 98 65%
Epoca 270 | ACIERTOS = 52 35%
Epoca 270 | FALLOS = 98 65%
Epoca 271 | ACIERTOS = 52 35%
Epoca 271 | FALLOS = 98 65%
Epoca 272 | ACIERTOS = 52 35%
Epoca 272 | FALLOS = 98 65%
Epoca 273 | ACIERTOS = 52 35%
Epoca 273 | FALLOS = 98 65%
Epoca 274 | ACIERTOS = 52 35%
Epoca 274 | FALLOS = 98 65%
Epoca 275 | ACIERTOS = 52 35%
Epoca 275 | FALLOS = 98 65%
Epoca 276 | ACIERTOS = 52 35%
Epoca 276 | FALLOS = 98 65%
Epoca 277 | ACIERTOS = 52 35%
Epoca 277 | FALLOS = 98 65%
Epoca 278 | ACIERTOS = 52 35%
Epoca 278 | FALLOS = 98 65%
Epoca 279 | ACIERTOS = 52 35%
Epoca 279 | FALLOS = 98 65%
Epoca 280 | ACIERTOS = 52 35%
Epoca 280 | FALLOS = 98 65%
Epoca 281 | ACIERTOS = 52 35%
Epoca 281 | FALLOS = 98 65%
Epoca 282 | ACIERTOS = 52 35%
Epoca 282 | FALLOS = 98 65%
Epoca 283 | ACIERTOS = 52 35%
Epoca 283 | FALLOS = 98 65%
Epoca 284 | ACIERTOS = 52 35%
Epoca 284 | FALLOS = 98 65%
Epoca 285 | ACIERTOS = 52 35%
Epoca 285 | FALLOS = 98 65%
Epoca 286 | ACIERTOS = 52 35%
Epoca 286 | FALLOS = 98 65%
Epoca 287 | ACIERTOS = 52 35%
Epoca 287 | FALLOS = 98 65%
Epoca 288 | ACIERTOS = 52 35%
Epoca 288 | FALLOS = 98 65%
Epoca 289 | ACIERTOS = 52 35%
Epoca 289 | FALLOS = 98 65%
Epoca 290 | ACIERTOS = 52 35%
Epoca 290 | FALLOS = 98 65%
Epoca 291 | ACIERTOS = 52 35%
Epoca 291 | FALLOS = 98 65%
Epoca 292 | ACIERTOS = 52 35%
Epoca 292 | FALLOS = 98 65%
Epoca 293 | ACIERTOS = 52 35%
Epoca 293 | FALLOS = 98 65%
Epoca 294 | ACIERTOS = 52 35%
Epoca 294 | FALLOS = 98 65%
Epoca 295 | ACIERTOS = 52 35%
Epoca 295 | FALLOS = 98 65%
Epoca 296 | ACIERTOS = 52 35%
Epoca 296 | FALLOS = 98 65%
Epoca 297 | ACIERTOS = 52 35%
Epoca 297 | FALLOS = 98 65%
Epoca 298 | ACIERTOS = 52 35%
Epoca 298 | FALLOS = 98 65%
Epoca 299 | ACIERTOS = 52 35%
Epoca 299 | FALLOS = 98 65%
Epoca 300 | ACIERTOS = 52 35%
Epoca 300 | FALLOS = 98 65%
Epoca 301 | ACIERTOS = 52 35%
Epoca 301 | FALLOS = 98 65%
Epoca 302 | ACIERTOS = 52 35%
Epoca 302 | FALLOS = 98 65%
Epoca 303 | ACIERTOS = 52 35%
Epoca 303 | FALLOS = 98 65%
Epoca 304 | ACIERTOS = 52 35%
Epoca 304 | FALLOS = 98 65%
Epoca 305 | ACIERTOS = 52 35%
Epoca 305 | FALLOS = 98 65%
Epoca 306 | ACIERTOS = 52 35%
Epoca 306 | FALLOS = 98 65%
